Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric,146.5,-49.0,180.0,top
C10,100nF,C_0603_1608Metric,157.93,-60.4,180.0,top
C11,100nF,C_0603_1608Metric,169.36,-60.4,180.0,top
C12,100nF,C_0603_1608Metric,180.79,-60.4,180.0,top
C13,100nF,C_0603_1608Metric,192.22,-60.4,180.0,top
C14,100nF,C_0603_1608Metric,203.65,-60.4,180.0,top
C15,100nF,C_0603_1608Metric,215.08,-60.4,180.0,top
C16,100nF,C_0603_1608Metric,226.51,-60.4,180.0,top
C17,100nF,C_0603_1608Metric,146.5,-71.8,180.0,top
C18,100nF,C_0603_1608Metric,157.93,-71.8,180.0,top
C19,100nF,C_0603_1608Metric,169.36,-71.8,180.0,top
C2,100nF,C_0603_1608Metric,157.93,-49.0,180.0,top
C20,100nF,C_0603_1608Metric,180.79,-71.8,180.0,top
C21,100nF,C_0603_1608Metric,192.22,-71.8,180.0,top
C22,100nF,C_0603_1608Metric,203.65,-71.8,180.0,top
C23,100nF,C_0603_1608Metric,215.08,-71.8,180.0,top
C24,100nF,C_0603_1608Metric,226.51,-71.8,180.0,top
C25,100nF,C_0603_1608Metric,146.5,-83.2,180.0,top
C26,100nF,C_0603_1608Metric,157.93,-83.2,180.0,top
C27,100nF,C_0603_1608Metric,169.36,-83.2,180.0,top
C28,100nF,C_0603_1608Metric,180.79,-83.2,180.0,top
C29,100nF,C_0603_1608Metric,192.22,-83.2,180.0,top
C3,100nF,C_0603_1608Metric,169.36,-49.0,180.0,top
C30,100nF,C_0603_1608Metric,203.65,-83.2,180.0,top
C31,100nF,C_0603_1608Metric,215.08,-83.2,180.0,top
C32,100nF,C_0603_1608Metric,226.51,-83.2,180.0,top
C33,100nF,C_0603_1608Metric,146.5,-94.6,180.0,top
C34,100nF,C_0603_1608Metric,157.93,-94.6,180.0,top
C35,100nF,C_0603_1608Metric,169.36,-94.6,180.0,top
C36,100nF,C_0603_1608Metric,180.79,-94.6,180.0,top
C37,100nF,C_0603_1608Metric,192.22,-94.6,180.0,top
C38,100nF,C_0603_1608Metric,203.65,-94.6,180.0,top
C39,100nF,C_0603_1608Metric,215.08,-94.6,180.0,top
C4,100nF,C_0603_1608Metric,180.79,-49.0,180.0,top
C40,100nF,C_0603_1608Metric,226.51,-94.6,180.0,top
C41,100nF,C_0603_1608Metric,146.5,-106.0,180.0,top
C42,100nF,C_0603_1608Metric,157.93,-106.0,180.0,top
C43,100nF,C_0603_1608Metric,169.36,-106.0,180.0,top
C44,100nF,C_0603_1608Metric,180.79,-106.0,180.0,top
C45,100nF,C_0603_1608Metric,192.22,-106.0,180.0,top
C46,100nF,C_0603_1608Metric,203.65,-106.0,180.0,top
C47,100nF,C_0603_1608Metric,215.08,-106.0,180.0,top
C48,100nF,C_0603_1608Metric,226.51,-106.0,180.0,top
C49,100nF,C_0603_1608Metric,146.5,-117.4,180.0,top
C5,100nF,C_0603_1608Metric,192.22,-49.0,180.0,top
C50,100nF,C_0603_1608Metric,157.93,-117.4,180.0,top
C51,100nF,C_0603_1608Metric,169.36,-117.4,180.0,top
C52,100nF,C_0603_1608Metric,180.79,-117.4,180.0,top
C53,100nF,C_0603_1608Metric,192.22,-117.4,180.0,top
C54,100nF,C_0603_1608Metric,203.65,-117.4,180.0,top
C55,100nF,C_0603_1608Metric,215.08,-117.4,180.0,top
C56,100nF,C_0603_1608Metric,226.51,-117.4,180.0,top
C57,100nF,C_0603_1608Metric,146.5,-128.8,180.0,top
C58,100nF,C_0603_1608Metric,157.93,-128.8,180.0,top
C59,100nF,C_0603_1608Metric,169.36,-128.8,180.0,top
C6,100nF,C_0603_1608Metric,203.65,-49.0,180.0,top
C60,100nF,C_0603_1608Metric,180.79,-128.8,180.0,top
C61,100nF,C_0603_1608Metric,192.22,-128.8,180.0,top
C62,100nF,C_0603_1608Metric,203.65,-128.8,180.0,top
C63,100nF,C_0603_1608Metric,215.08,-128.8,180.0,top
C64,100nF,C_0603_1608Metric,226.51,-128.8,180.0,top
C65,100nF,C_0603_1608Metric,134.62,-52.578,90.0,top
C7,100nF,C_0603_1608Metric,215.08,-49.0,180.0,top
C8,100nF,C_0603_1608Metric,226.51,-49.0,180.0,top
C9,100nF,C_0603_1608Metric,146.5,-60.4,180.0,top
D1,SK6812-EC20,SK6812-EC20,146.25,-51.1,90.0,top
D10,1N4148WS,D_SOD-323,138.25,-62.5,90.0,top
D100,SK6812-EC20,SK6812-EC20,180.54,-96.7,90.0,top
D101,SK6812-EC20,SK6812-EC20,191.97,-96.7,90.0,top
D102,SK6812-EC20,SK6812-EC20,203.4,-96.7,90.0,top
D103,SK6812-EC20,SK6812-EC20,214.83,-96.7,90.0,top
D104,SK6812-EC20,SK6812-EC20,226.26,-96.7,90.0,top
D105,SK6812-EC20,SK6812-EC20,146.25,-108.1,90.0,top
D106,SK6812-EC20,SK6812-EC20,157.68,-108.1,90.0,top
D107,SK6812-EC20,SK6812-EC20,169.11,-108.1,90.0,top
D108,SK6812-EC20,SK6812-EC20,180.54,-108.1,90.0,top
D109,SK6812-EC20,SK6812-EC20,191.97,-108.1,90.0,top
D11,1N4148WS,D_SOD-323,149.68,-62.5,90.0,top
D110,SK6812-EC20,SK6812-EC20,203.4,-108.1,90.0,top
D111,SK6812-EC20,SK6812-EC20,214.83,-108.1,90.0,top
D112,SK6812-EC20,SK6812-EC20,226.26,-108.1,90.0,top
D113,SK6812-EC20,SK6812-EC20,146.25,-119.5,90.0,top
D114,SK6812-EC20,SK6812-EC20,157.68,-119.5,90.0,top
D115,SK6812-EC20,SK6812-EC20,169.11,-119.5,90.0,top
D116,SK6812-EC20,SK6812-EC20,180.54,-119.5,90.0,top
D117,SK6812-EC20,SK6812-EC20,191.97,-119.5,90.0,top
D118,SK6812-EC20,SK6812-EC20,203.4,-119.5,90.0,top
D119,SK6812-EC20,SK6812-EC20,214.83,-119.5,90.0,top
D12,1N4148WS,D_SOD-323,161.11,-62.5,90.0,top
D120,SK6812-EC20,SK6812-EC20,226.26,-119.5,90.0,top
D121,SK6812-EC20,SK6812-EC20,146.25,-130.9,90.0,top
D122,SK6812-EC20,SK6812-EC20,157.68,-130.9,90.0,top
D123,SK6812-EC20,SK6812-EC20,169.11,-130.9,90.0,top
D124,SK6812-EC20,SK6812-EC20,180.54,-130.9,90.0,top
D125,SK6812-EC20,SK6812-EC20,191.97,-130.9,90.0,top
D126,SK6812-EC20,SK6812-EC20,203.4,-130.9,90.0,top
D127,SK6812-EC20,SK6812-EC20,214.83,-130.9,90.0,top
D128,SK6812-EC20,SK6812-EC20,226.26,-130.9,90.0,top
D13,1N4148WS,D_SOD-323,172.54,-62.5,90.0,top
D14,1N4148WS,D_SOD-323,183.97,-62.5,90.0,top
D15,1N4148WS,D_SOD-323,195.4,-62.5,90.0,top
D16,1N4148WS,D_SOD-323,206.83,-62.5,90.0,top
D17,1N4148WS,D_SOD-323,218.26,-62.5,90.0,top
D18,1N4148WS,D_SOD-323,138.25,-73.9,90.0,top
D19,1N4148WS,D_SOD-323,149.68,-73.9,90.0,top
D2,1N4148WS,D_SOD-323,138.25,-51.1,90.0,top
D20,1N4148WS,D_SOD-323,161.11,-73.9,90.0,top
D21,1N4148WS,D_SOD-323,172.54,-73.9,90.0,top
D22,1N4148WS,D_SOD-323,183.97,-73.9,90.0,top
D23,1N4148WS,D_SOD-323,195.4,-73.9,90.0,top
D24,1N4148WS,D_SOD-323,206.83,-73.9,90.0,top
D25,1N4148WS,D_SOD-323,218.26,-73.9,90.0,top
D26,1N4148WS,D_SOD-323,138.25,-85.3,90.0,top
D27,1N4148WS,D_SOD-323,149.68,-85.3,90.0,top
D28,1N4148WS,D_SOD-323,161.11,-85.3,90.0,top
D29,1N4148WS,D_SOD-323,172.54,-85.3,90.0,top
D3,1N4148WS,D_SOD-323,149.68,-51.1,90.0,top
D30,1N4148WS,D_SOD-323,183.97,-85.3,90.0,top
D31,1N4148WS,D_SOD-323,195.4,-85.3,90.0,top
D32,1N4148WS,D_SOD-323,206.83,-85.3,90.0,top
D33,1N4148WS,D_SOD-323,218.26,-85.3,90.0,top
D34,1N4148WS,D_SOD-323,138.25,-96.7,90.0,top
D35,1N4148WS,D_SOD-323,149.68,-96.7,90.0,top
D36,1N4148WS,D_SOD-323,161.11,-96.7,90.0,top
D37,1N4148WS,D_SOD-323,172.54,-96.7,90.0,top
D38,1N4148WS,D_SOD-323,183.97,-96.7,90.0,top
D39,1N4148WS,D_SOD-323,195.4,-96.7,90.0,top
D4,1N4148WS,D_SOD-323,161.11,-51.1,90.0,top
D40,1N4148WS,D_SOD-323,206.83,-96.7,90.0,top
D41,1N4148WS,D_SOD-323,218.26,-96.7,90.0,top
D42,1N4148WS,D_SOD-323,138.25,-108.1,90.0,top
D43,1N4148WS,D_SOD-323,149.68,-108.1,90.0,top
D44,1N4148WS,D_SOD-323,161.11,-108.1,90.0,top
D45,1N4148WS,D_SOD-323,172.54,-108.1,90.0,top
D46,1N4148WS,D_SOD-323,183.97,-108.1,90.0,top
D47,1N4148WS,D_SOD-323,195.4,-108.1,90.0,top
D48,1N4148WS,D_SOD-323,206.83,-108.1,90.0,top
D49,1N4148WS,D_SOD-323,218.26,-108.1,90.0,top
D5,1N4148WS,D_SOD-323,172.54,-51.1,90.0,top
D50,1N4148WS,D_SOD-323,138.25,-119.5,90.0,top
D51,1N4148WS,D_SOD-323,149.68,-119.5,90.0,top
D52,1N4148WS,D_SOD-323,161.11,-119.5,90.0,top
D53,1N4148WS,D_SOD-323,172.54,-119.5,90.0,top
D54,1N4148WS,D_SOD-323,183.97,-119.5,90.0,top
D55,1N4148WS,D_SOD-323,195.4,-119.5,90.0,top
D56,1N4148WS,D_SOD-323,206.83,-119.5,90.0,top
D57,1N4148WS,D_SOD-323,218.26,-119.5,90.0,top
